month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
4,19,12.0,8.785714285714286,48.57142857142857,1015.5142857142856,302.1428571428572,3.7142857142857135,515.9285714285714,135.64285714285714,501.7142857142857
5,20,18.01875,20.3625,55.375,999.53125,296.3125,4.925,210.8125,212.125,381.4375
7,14,27.93125,34.61875,49.1875,1011.79375,234.3125,2.5375,73.0,269.875,315.375
6,4,19.00625,14.69375,49.4375,1006.34375,323.6875,3.8625,0.0,301.625,301.625
8,18,24.964285714285715,54.24285714285714,90.71428571428572,1001.9785714285716,198.57142857142856,4.992857142857143,6.071428571428571,153.28571428571428,155.0
12,11,3.07,6.63,57.3,1006.38,272.9,3.55,359.8,99.5,223.1
6,16,21.5625,19.2125,43.625,1025.88125,79.1875,4.0125,612.9375,100.3125,534.0625
11,24,7.27,19.39,83.4,990.23,232.6,6.88,0.0,70.4,70.4
9,21,18.242857142857144,14.80714285714286,49.35714285714285,1012.6714285714286,51.71428571428572,4.1571428571428575,299.2857142857143,167.71428571428572,345.85714285714283
8,26,26.842857142857145,30.52142857142857,59.21428571428572,1005.9714285714286,258.2142857142857,4.514285714285714,292.85714285714283,199.2142857142857,411.5
11,15,2.390909090909091,4.6454545454545455,50.18181818181818,1016.6454545454544,313.0,3.790909090909091,595.0,62.54545454545455,286.54545454545456
4,8,9.578571428571427,13.4,62.35714285714285,1017.3642857142858,78.28571428571429,3.5500000000000003,301.1428571428572,209.64285714285717,403.9285714285714
7,2,24.225,26.825,60.0,1005.5375,267.5,2.56875,418.8125,171.125,482.1875
8,7,24.88125,28.09375,56.4375,998.34375,273.125,2.36875,333.625,182.0625,415.75
5,6,18.066666666666663,13.293333333333331,44.4,1005.5866666666666,303.0,2.2133333333333334,400.6,178.6,464.8666666666667
4,1,8.842857142857143,16.15,67.85714285714286,1011.4714285714286,144.71428571428572,5.292857142857143,11.357142857142858,146.42857142857142,153.57142857142858
10,24,13.325,18.991666666666667,70.08333333333333,1008.4416666666666,189.16666666666663,3.1666666666666665,113.16666666666669,175.41666666666666,223.5
4,3,11.407142857142857,8.292857142857143,46.5,1006.9857142857144,269.6428571428572,6.607142857142857,647.6428571428571,86.21428571428571,471.1428571428572
2,10,-3.325,2.6416666666666666,43.66666666666666,1006.5666666666666,309.5833333333333,4.825,500.0833333333333,106.66666666666669,304.1666666666667
9,4,26.542857142857144,37.37857142857143,61.642857142857146,1011.0857142857144,214.64285714285717,4.821428571428571,205.5,198.78571428571428,334.2857142857143
7,3,27.45,29.31875,48.9375,1005.65,275.1875,3.4,352.625,169.25,420.375
7,10,25.85,24.125,46.9375,1007.1125,143.5,1.5375,484.0,141.0625,495.125
10,29,12.563636363636364,19.772727272727277,64.45454545454545,1009.2454545454548,80.72727272727273,6.836363636363637,19.181818181818183,162.0909090909091,169.0909090909091
6,2,24.425,24.81875,61.25,1001.21875,181.5,2.2625,529.25,121.9375,507.0625
10,7,17.63076923076923,23.392307692307693,65.15384615384616,1006.3538461538462,322.0,2.8846153846153846,375.5384615384616,133.0,312.53846153846155
5,25,23.16875,24.2625,47.5,1014.475,207.4375,4.725,411.75,146.125,473.625
2,14,1.525,5.8500000000000005,56.16666666666666,1006.8833333333332,318.4166666666667,5.825,661.5,55.5,341.0833333333333
6,27,24.15,29.68125,60.9375,1006.91875,264.4375,1.36875,516.375,140.125,501.0625
11,24,6.07,14.169999999999998,77.7,1009.86,148.2,3.64,46.0,95.9,107.2
5,10,22.206666666666667,24.39333333333333,67.66666666666667,1012.9533333333331,212.33333333333331,4.213333333333333,283.1333333333333,247.06666666666663,425.53333333333336
1,17,2.72,8.3,70.8,1004.7,197.2,3.19,537.6,81.0,266.1
8,28,23.8,44.57857142857143,89.21428571428571,1002.3928571428572,204.8571428571429,1.1714285714285713,129.35714285714286,140.85714285714286,213.28571428571428
10,3,21.95384615384615,26.515384615384612,79.38461538461539,1011.2076923076924,163.6153846153846,2.523076923076923,109.53846153846152,152.0,208.0
6,2,24.60625,29.40625,50.6875,1004.59375,213.3125,3.075,203.1875,242.9375,408.125
9,6,24.207142857142856,37.73571428571428,61.71428571428572,1006.1285714285714,41.92857142857143,6.935714285714285,0.3571428571428571,191.5,191.5
11,20,11.1,8.118181818181817,62.27272727272727,1009.8363636363636,320.09090909090907,5.0,597.8181818181819,49.0,270.8181818181818
11,29,0.8181818181818182,4.672727272727273,54.45454545454545,1025.2545454545457,324.8181818181818,2.4545454545454546,350.6363636363636,81.81818181818181,215.9090909090909
4,1,15.142857142857142,29.97142857142857,85.14285714285714,1004.9714285714286,210.5,9.05,2.0,109.5,109.64285714285714
9,25,20.13076923076923,20.21538461538461,55.46153846153846,1018.253846153846,75.3076923076923,3.876923076923077,225.69230769230768,191.30769230769232,337.84615384615387
6,24,27.375,33.15625,52.875,1004.01875,259.4375,4.51875,412.0,157.6875,473.4375
12,13,3.45,10.35,67.7,1021.06,111.9,3.76,2.0,48.1,48.3
3,19,7.961538461538462,17.73846153846154,80.53846153846153,1008.0384615384615,235.30769230769232,3.3307692307692305,0.1538461538461538,66.84615384615384,66.84615384615384
2,3,0.1818181818181818,9.181818181818182,80.72727272727273,997.9272727272728,317.3636363636364,4.309090909090909,12.272727272727272,171.45454545454547,175.36363636363637
6,26,21.9375,15.6125,49.1875,1013.99375,150.25,2.9625,625.5625,106.6875,537.5
6,1,25.91875,39.05,69.5625,1008.09375,206.8125,4.725,212.375,193.3125,374.6875
